"total_name","total_value","country_name","country_url","country_total_cases","country_total_deaths","country_total_new_cases","country_total_recovered","country_total_active_cases","country_total_tests","country_Population","country_Population_url"
"","","Austria","https://www.worldometers.info/coronavirus/country/austria/","19,154","710","+133","17,175","1,269","716,293","9,008,354","https://www.worldometers.info/world-population/austria-population/"
"","","Serbia","https://www.worldometers.info/coronavirus/country/serbia/","18,983","418","","13,991","4,574","507,002","8,735,866","https://www.worldometers.info/world-population/serbia-population/"
"","","Nepal","https://www.worldometers.info/coronavirus/country/nepal/","17,177","39","+116","11,025","6,113","611,231","29,153,511","https://www.worldometers.info/world-population/nepal-population/"
"","","Morocco","https://www.worldometers.info/coronavirus/country/morocco/","16,181","258","+84","13,666","2,257","924,695","36,925,874","https://www.worldometers.info/world-population/morocco-population/"
"","","Cameroon","https://www.worldometers.info/coronavirus/country/cameroon/","15,173","359","","11,928","2,886","120,837","26,564,536","https://www.worldometers.info/world-population/cameroon-population/"
"","","Uzbekistan","https://www.worldometers.info/coronavirus/country/uzbekistan/","14,293","68","+208","8,327","5,898","1,377,915","33,485,533","https://www.worldometers.info/world-population/uzbekistan-population/"
"","","S. Korea","https://www.worldometers.info/coronavirus/country/south-korea/","13,551","289","+39","12,348","914","1,431,316","51,270,969","https://www.worldometers.info/world-population/south-korea-population/"
"","","Czechia","https://www.worldometers.info/coronavirus/country/czech-republic/","13,341","355","","8,441","4,545","602,670","10,709,775","https://www.worldometers.info/world-population/czech-republic-population/"
"","","Denmark","https://www.worldometers.info/coronavirus/country/denmark/","13,061","610","","12,160","291","1,257,157","5,793,000","https://www.worldometers.info/world-population/denmark-population/"
"","","Ivory Coast","https://www.worldometers.info/coronavirus/country/cote-d-ivoire/","13,037","87","","6,908","6,042","78,066","26,396,778","https://www.worldometers.info/world-population/cote-d-ivoire-population/"
"","","Kyrgyzstan","https://www.worldometers.info/coronavirus/country/kyrgyzstan/","11,977","160","+533","3,660","8,157","259,793","6,527,708","https://www.worldometers.info/world-population/kyrgyzstan-population/"
"","","Kenya","https://www.worldometers.info/coronavirus/country/kenya/","10,791","202","","3,017","7,572","221,234","53,806,557","https://www.worldometers.info/world-population/kenya-population/"
"","","El Salvador","https://www.worldometers.info/coronavirus/country/el-salvador/","10,645","286","+342","6,120","4,239","199,637","6,487,461","https://www.worldometers.info/world-population/el-salvador-population/"
"","","Australia","https://www.worldometers.info/coronavirus/country/australia/","10,487","111","+237","7,928","2,448","3,213,715","25,510,278","https://www.worldometers.info/world-population/australia-population/"
"","","Sudan","https://www.worldometers.info/coronavirus/country/sudan/","10,417","659","","5,579","4,179","401","43,879,028","https://www.worldometers.info/world-population/sudan-population/"
"","","Venezuela","https://www.worldometers.info/coronavirus/country/venezuela/","10,010","96","","2,671","7,243","1,386,563","28,432,540","https://www.worldometers.info/world-population/venezuela-population/"
"","","Norway","https://www.worldometers.info/coronavirus/country/norway/","9,001","253","","8,138","610","383,149","5,422,810","https://www.worldometers.info/world-population/norway-population/"
"","","Malaysia","https://www.worldometers.info/coronavirus/country/malaysia/","8,734","122","+5","8,526","86","861,896","32,380,313","https://www.worldometers.info/world-population/malaysia-population/"
"","","Costa Rica","https://www.worldometers.info/coronavirus/country/costa-rica/","8,482","37","","2,441","6,004","61,216","5,095,810","https://www.worldometers.info/world-population/costa-rica-population/"
"","","Senegal","https://www.worldometers.info/coronavirus/country/senegal/","8,369","153","+126","5,605","2,611","92,905","16,756,053","https://www.worldometers.info/world-population/senegal-population/"
"","","North Macedonia","https://www.worldometers.info/coronavirus/country/macedonia/","8,332","389","","4,468","3,475","79,392","2,083,371","https://www.worldometers.info/world-population/macedonia-population/"
